event_id,event_date,event_type,event_name,symbol,car,t_stat,p_value,estimation_n,model,beta,alpha
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,ETH,-0.1929967793627763,-1.553107586499324,0.12166242222425794,251,market_model,1.2952064120765083,0.0013398861892160304
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,SOL,-0.4487374975266143,-1.7235232860922405,0.08603028646635447,251,market_model,1.604184133408659,0.0009845004519605596
29,2023-03-10,Infra_Negative,SVB collapse; USDC briefly depegs,ADA,-0.08710834781961552,-0.6022106784088732,0.5475797006720544,251,market_model,1.0076742627278437,-3.832591164805134e-06
31,2023-06-05,Reg_Negative,SEC sues Binance (unregistered securities),BTC,0.036586565592445025,0.21603522512657924,0.8291364531232539,251,constant_mean,,
31,2023-06-05,Reg_Negative,SEC sues Binance (unregistered securities),ETH,-0.08919160283735528,-0.8370857183820395,0.40334385956029206,251,market_model,1.089301260990947,-0.00032155095597332127
31,2023-06-05,Reg_Negative,SEC sues Binance (unregistered securities),SOL,-0.16262107506551318,-0.6660279760187151,0.5060073115479744,251,market_model,1.656021532185138,-0.002500625879152389
31,2023-06-05,Reg_Negative,SEC sues Binance (unregistered securities),ADA,-0.30312401656443927,-2.2450356481271836,0.025640540492330555,251,market_model,1.0026270453823845,-0.0018221160799657523
32,2023-06-06,Reg_Negative,SEC sues Coinbase (unregistered securities),BTC,0.03383395006640186,0.19982634911410352,0.8417788365871073,251,constant_mean,,
32,2023-06-06,Reg_Negative,SEC sues Coinbase (unregistered securities),ETH,-0.10484247206944178,-0.9820889590158349,0.3270054804774505,251,market_model,1.0900607635173811,-0.0003527351083382259
32,2023-06-06,Reg_Negative,SEC sues Coinbase (unregistered securities),SOL,-0.10452665238857478,-0.42812880925368313,0.6689259400217438,251,market_model,1.6570939443952148,-0.002535557869342627
32,2023-06-06,Reg_Negative,SEC sues Coinbase (unregistered securities),ADA,-0.31137784140415353,-2.3076647554663046,0.021835044422675143,251,market_model,1.0018795195631045,-0.0018019766196220493
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,BTC,0.07506692175040973,0.44705888951545664,0.6552196012924827,251,constant_mean,,
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,ETH,-0.06621996207973613,-0.63585817105163,0.5254505167392414,251,market_model,1.0859421731692327,-0.0007934763762367879
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,SOL,0.3595313887071155,1.4734667018792842,0.14188321042649665,251,market_model,1.66749149356165,-0.00264274120763661
33,2023-06-15,Reg_Positive,BlackRock files for US spot Bitcoin ETF,ADA,0.07623058128900143,0.57906459131938,0.563066962364545,251,market_model,0.9980632022632145,-0.002151457089470888
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),BTC,-0.06706263613774033,-0.47676892889904066,0.6339431379877398,251,constant_mean,,
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),ETH,-0.03115754421285328,-0.39962168717511215,0.6897763792736757,251,market_model,0.9514938824406,-0.0001744728253106141
34,2023-08-29,Reg_Positive,Grayscale wins court case vs SEC (spot BTC ETF),SOL,-0.12440933973454696,-0.5276869531063431,0.5981846446147552,251,market_model,1.4349972440715084,0.00037776402489337127
