snapped_at,price,market_cap,total_volume
2024-06-21,586.90593534942,90412994443.0561,1092535046.94072
2024-06-22,585.861103028514,90166701078.6318,763964473.607312
2024-06-23,590.559648618049,90831383357.659,374691318.649018
2024-06-24,577.112305791683,88704371856.7643,602832218.496023
2024-06-25,568.286625792048,87271749669.3522,1423801612.33127
2024-06-26,578.10170306042,88851602668.005,822683284.707435
2024-06-27,571.965390194302,87994251271.487,706189025.807188
2024-06-28,580.484809831635,89308267430.4477,821012226.754081
2024-06-29,566.779183523564,87198053054.7118,723489522.543867
2024-06-30,569.037979199843,87526072993.0969,405914726.506923
2024-07-01,581.778594648198,89479656642.3047,679465520.410119
2024-07-02,576.458210444657,88672388632.9296,664117687.146587
2024-07-03,579.024450271027,89098620871.5989,606289001.427318
2024-07-04,556.979715422894,85665920083.9427,1001238960.47254
2024-07-05,513.945375549693,79274495247.4301,1545553921.19395
2024-07-06,498.621967801353,76714273647.3038,2604851068.35847
2024-07-07,527.456637163523,81193238739.2619,775622840.401063
2024-07-08,489.8966088738,75281277003.4196,886962556.251936
2024-07-09,510.232462786271,78514420114.3121,1586231681.33188
2024-07-10,516.670050453339,79558013405.2306,741939896.161581
2024-07-11,524.293468395548,80718169616.7678,846017353.370869
2024-07-12,525.424356848624,80735885200.9459,807513195.297217
2024-07-13,533.79693592098,82091505746.5974,796401058.136802
2024-07-14,531.830086241339,81949861356.4474,628511639.022071
2024-07-15,544.992377731892,83985308455.3087,594170752.216769
2024-07-16,586.502162941087,90237693987.1037,1118557940.60654
2024-07-17,577.073332002525,88732963754.1129,1214855892.53729
2024-07-18,568.662986818851,87605945219.3387,801369061.398164
2024-07-19,571.973279148495,88003321839.1918,749609076.139036
2024-07-20,593.628668776851,91326026617.611,1198263276.87125
2024-07-21,593.758391296393,91357106145.4071,612596079.245359
2024-07-22,601.817243994619,92565473859.7811,888499706.291106
2024-07-23,589.292647245785,90711577823.5121,1076044016.06843
2024-07-24,582.452913623197,89637632645.5255,898212596.929581
2024-07-25,574.41064723269,88376610702.2298,680183858.553469
2024-07-26,570.928383633227,87881569567.941,1131076443.66882
2024-07-27,581.068819715962,89386228930.6478,708560781.74042
2024-07-28,582.163165239056,89569383275.4949,814108946.207702
2024-07-29,584.421479807375,89894878401.6487,456744572.360746
2024-07-30,574.721273089321,83786153369.6215,894893853.68732
2024-07-31,585.8203686347,85470855219.685,811283570.759346
2024-08-01,576.723590502098,84116308113.3007,819116546.466469
2024-08-02,575.395511787604,83943056335.14,1103476839.05694
2024-08-03,542.953643167148,79207573785.7347,1190046276.70729
2024-08-04,529.824763245154,77275298116.9877,920058736.048402
2024-08-05,495.964297435195,72455031845.5931,1204020187.4042
2024-08-06,464.91722306557,67825646616.0547,3688148819.09516
2024-08-07,483.581470315453,70529736005.9825,1608444664.85963
2024-08-08,474.915175481753,69405610033.3052,1172923833.53033
2024-08-09,517.020021236148,75379973055.3057,964414902.920252
2024-08-10,508.505989662366,74121729931.6329,588500103.934732
2024-08-11,523.408197237144,76361242414.2231,537804503.765408
2024-08-12,503.472305645419,73430101810.4526,797141781.608433
2024-08-13,518.752216971258,75670419007.8007,1003673165.59085
2024-08-14,523.553454829407,76342061983.6819,967141273.661824
2024-08-15,523.842262496248,76380430420.0317,791043544.179758
2024-08-16,519.989791414418,75841500331.0852,835902359.040102
2024-08-17,519.717838331949,75855800746.2958,721531477.325509
2024-08-18,542.028372504351,79079252404.1194,665967566.258195
2024-08-19,530.603582072112,77408470293.9908,641658585.550995
2024-08-20,561.346693304553,81819968892.463,835825601.790769
2024-08-21,569.512922338825,83358274544.3906,1333942724.79451
2024-08-22,569.554507635321,83056570988.0287,1112040435.34057
2024-08-23,583.756753676223,85179220985.0765,1204928827.47451
2024-08-24,590.468896442936,86138952585.0022,1209666815.67026
2024-08-25,580.911561847724,84650512772.0845,1096537691.42274
2024-08-26,573.1076363055,83610905694.5127,801561228.677684
2024-08-27,548.853012203123,80080391634.327,971837222.714323
2024-08-28,534.672325425021,78160031799.8129,1042927606.59535
2024-08-29,536.557997747426,78331630413.9523,1100999066.9348
2024-08-30,536.803684457074,78358707308.2332,720268698.631752
2024-08-31,535.454765722919,78116141811.9174,856795243.77375
2024-09-01,532.714218959286,77715922914.0521,376648540.750375
2024-09-02,512.864544157512,74829827536.7718,694174839.150289
2024-09-03,526.134660846213,76831499618.6323,965913618.743045
2024-09-04,518.976991927993,75821979841.8763,811117819.45053
2024-09-05,508.000182607575,74082271440.0555,1261230278.54118
2024-09-06,502.336480294383,73298353535.1961,596939169.894353
2024-09-07,486.611337227831,71044218471.2088,1186849723.18517
2024-09-08,493.169772582562,71876297112.5358,590890071.612657
2024-09-09,502.473276489811,73534080477.2485,624529866.452612
2024-09-10,519.038144194719,75762703430.45,841883931.035886
2024-09-11,517.371526189411,75460567584.0825,745525442.676641
2024-09-12,530.726155608222,77464122682.9438,948969872.611708
2024-09-13,543.994113109409,79366643987.6884,940734076.174295
2024-09-14,557.300101433576,81324118498.1824,957150654.235028
2024-09-15,553.460154768321,80729550771.2812,549782251.610032
2024-09-16,553.531768443783,80738379011.587,739957732.756924
2024-09-17,534.030782864206,77951289168.3157,1185987916.23954
2024-09-18,545.859155781787,79651662029.6585,749799587.553903
2024-09-19,559.262203375666,81414364603.3237,800863109.751554
2024-09-20,565.722643477353,82508263052.8837,1072294555.06542
2024-09-21,568.141969969606,82865805726.7333,749877887.896349
2024-09-22,589.127897108834,86060631709.7041,596782454.408757
2024-09-23,588.00084914671,85792747967.2796,610149903.846865
2024-09-24,604.29072050925,88128290233.2313,1300885128.81711
2024-09-25,606.319619363922,88472367696.0508,785716722.976959
2024-09-26,587.452845968753,85624136607.3983,869908503.601598
2024-09-27,596.650056868492,87077034857.0451,1166805206.00159
2024-09-28,608.532676553366,88777861760.9806,1210015212.50039
2024-09-29,601.884462188505,87827034865.2129,930036415.168794
2024-09-30,596.612462262339,87052731975.4387,649177025.941376
2024-10-01,566.613299689504,82687696155.7076,844868785.451688
2024-10-02,547.666208585036,79897582813.0278,1303622283.12728
